T2M,RH2M,PS,datetime,hour,month,T2M_diff,RH2M_diff,PS_diff,T2M_roll_mean,RH2M_roll_mean,PS_roll_mean,T2M_roll_std,RH2M_roll_std,PS_roll_std,T2M_roll_dev,RH2M_roll_dev,PS_roll_dev
32.27,64.86,980.8,2025-09-29 13:00:00,13,9,0.030000000000001137,-0.23999999999999488,-1.1000000000000227,27.751666666666665,82.98875,982.1958333333333,3.2950525055749402,12.70635695489596,1.0310312130940558,4.518333333333338,-18.128749999999997,-1.3958333333333712
32.02,65.64,980.2,2025-09-29 14:00:00,14,9,-0.25,0.7800000000000011,-0.599999999999909,27.71708333333333,83.10416666666667,982.15,3.2431633499556747,12.526979550820798,1.0950481427034287,4.302916666666672,-17.46416666666667,-1.9499999999999318
31.6,67.69,979.8,2025-09-29 15:00:00,15,9,-0.4200000000000017,2.049999999999997,-0.40000000000009095,27.68166666666667,83.26083333333334,982.1041666666666,3.193491569708629,12.29817728335259,1.1700907310531419,3.918333333333333,-15.57083333333334,-2.3041666666666742
31.02,71.55,979.6,2025-09-29 16:00:00,16,9,-0.5800000000000018,3.8599999999999994,-0.1999999999999318,27.670416666666664,83.3275,982.0458333333332,3.1806773672436104,12.22701472684363,1.2590469710930408,3.349583333333335,-11.777500000000003,-2.445833333333212
29.51,79.83,979.6,2025-09-29 17:00:00,17,9,-1.509999999999998,8.280000000000001,0.0,27.679166666666664,83.26833333333333,981.9791666666666,3.1856402218692854,12.240932639471309,1.3451940757771377,1.830833333333338,-3.4383333333333326,-2.379166666666606
28.33,84.83,980.0,2025-09-29 18:00:00,18,9,-1.1800000000000033,5.0,0.39999999999997726,27.70625,83.20791666666666,981.9083333333333,3.1884094610490847,12.228994405374575,1.4040056567247219,0.6237499999999976,1.622083333333336,-1.908333333333303
27.78,86.6,980.4,2025-09-29 19:00:00,19,9,-0.5499999999999972,1.769999999999996,0.39999999999997726,27.74416666666667,83.16208333333333,981.8291666666668,3.1834393714796896,12.213477936162056,1.4342030560051888,0.03583333333333272,3.4379166666666663,-1.429166666666788
27.27,88.28,980.8,2025-09-29 20:00:00,20,9,-0.5100000000000016,1.6800000000000068,0.39999999999997726,27.787916666666664,83.09541666666667,981.7541666666666,3.1687632742773184,12.179533788167642,1.4391963840775939,-0.5179166666666646,5.184583333333336,-0.9541666666666515
26.79,89.6,980.9,2025-09-29 21:00:00,21,9,-0.4800000000000004,1.3199999999999932,0.10000000000002274,27.830416666666668,83.0075,981.6750000000001,3.1472893501592885,12.122126822289387,1.4314024743365135,-1.040416666666669,6.592500000000001,-0.775000000000091
26.4,90.32,980.7,2025-09-29 22:00:00,22,9,-0.39000000000000057,0.7199999999999989,-0.1999999999999318,27.872083333333336,82.90291666666667,981.5958333333334,3.1202173547018437,12.044276461084323,1.4305605975446432,-1.4720833333333374,7.4170833333333235,-0.8958333333333712
