T2M,RH2M,PS,datetime,hour,month,T2M_diff,T2M_roll_mean,T2M_roll_std,T2M_roll_dev,RH2M_diff,RH2M_roll_mean,RH2M_roll_std,RH2M_roll_dev,PS_diff,PS_roll_mean,PS_roll_std,PS_roll_dev
29.24,11.54,987.2,2025-03-07 11:00:00,11,3,1.6199999999999974,19.085,7.24247435498472,10.154999999999998,-1.1800000000000015,28.476249999999997,13.582406398975044,-16.936249999999998,-0.599999999999909,987.525,0.82527992615944,-0.3249999999999318
30.24,10.73,986.3,2025-03-07 12:00:00,12,3,1.0,19.131666666666668,7.313208816135939,11.10833333333333,-0.8099999999999987,28.533749999999998,13.500591231013486,-17.803749999999997,-0.900000000000091,987.4541666666665,0.8551527535386154,-1.1541666666665833
30.65,10.33,985.0,2025-03-07 13:00:00,13,3,0.41000000000000014,19.160416666666666,7.358842347027718,11.489583333333332,-0.40000000000000036,28.601250000000004,13.400848873987051,-18.271250000000002,-1.2999999999999545,987.3666666666667,0.9898030839156472,-2.3666666666666742
30.48,10.31,984.1,2025-03-07 14:00:00,14,3,-0.16999999999999815,19.1775,7.385696664323137,11.302500000000002,-0.019999999999999574,28.67625,13.288078610248201,-18.36625,-0.8999999999999773,987.2666666666668,1.1834609035144277,-3.1666666666667425
29.81,10.79,984.2,2025-03-07 15:00:00,15,3,-0.6700000000000017,19.193333333333335,7.409001966859648,10.616666666666664,0.47999999999999865,28.756666666666664,13.168240338904447,-17.966666666666665,0.10000000000002274,987.1875,1.3205112646255404,-2.9874999999999545
27.54,16.29,984.0,2025-03-07 16:00:00,16,3,-2.2699999999999996,19.22083333333333,7.439933331086851,8.319166666666668,5.5,28.858333333333334,13.05709824167359,-12.568333333333335,-0.20000000000004547,987.1,1.4581107490603908,-3.1000000000000227
22.14,29.85,984.0,2025-03-07 17:00:00,17,3,-5.399999999999999,19.28125,7.4582474410083055,2.8587500000000006,13.560000000000002,28.970833333333335,13.053370351606283,0.8791666666666664,0.0,987.0,1.5849838841603618,-3.0
20.07,31.5,984.4,2025-03-07 18:00:00,18,3,-2.0700000000000003,19.354166666666668,7.456995499801549,0.7158333333333324,1.6499999999999986,29.037500000000005,13.06240481554524,2.462499999999995,0.39999999999997726,986.8958333333334,1.6716248712406865,-2.495833333333394
18.95,32.79,985.1,2025-03-07 19:00:00,19,3,-1.120000000000001,19.422916666666666,7.444829824998753,-0.47291666666666643,1.2899999999999991,29.10083333333333,13.077376055337545,3.6891666666666687,0.7000000000000455,986.7916666666666,1.7034279164887194,-1.691666666666606
17.96,34.06,985.4,2025-03-07 20:00:00,20,3,-0.9899999999999984,19.490416666666665,7.4229746054230965,-1.5304166666666639,1.2700000000000031,29.16625,13.098975669376545,4.893750000000001,0.2999999999999545,986.6750000000001,1.6986567583288192,-1.275000000000091
17.03,35.55,985.5,2025-03-07 21:00:00,21,3,-0.9299999999999997,19.557083333333335,7.392042418925296,-2.5270833333333336,1.4899999999999949,29.242083333333337,13.131772283171212,6.30791666666666,0.10000000000002274,986.5500000000001,1.6686365170688167,-1.0500000000000682
16.16,37.06,985.3,2025-03-07 22:00:00,22,3,-0.870000000000001,19.63,7.347560375952238,-3.469999999999999,1.5100000000000051,29.309166666666666,13.168923866324983,7.750833333333336,-0.20000000000004547,986.4041666666666,1.6155438353903835,-1.1041666666666288
