T2M,RH2M,PS,datetime,is_anomaly,anomaly_type,hour,month,T2M_diff,T2M_roll_mean,T2M_roll_std,T2M_roll_dev,RH2M_diff,RH2M_roll_mean,RH2M_roll_std,RH2M_roll_dev,PS_diff,PS_roll_mean,PS_roll_std,PS_roll_dev
8.82,64.01,997.6,2023-01-04 19:00:00,0,normal,19,1,-1.049999999999999,8.425416666666665,5.521793957989807,0.39458333333333506,3.740000000000002,56.973333333333336,13.095781486937804,7.036666666666669,0.39999999999997726,997.5958333333333,0.8446657001013004,0.0041666666667197205
7.91,67.21,997.8,2023-01-04 20:00:00,0,normal,20,1,-0.9100000000000001,8.453750000000001,5.517136002847223,-0.5437500000000011,3.1999999999999886,57.21125000000001,13.232746703768143,9.998749999999987,0.1999999999999318,997.5708333333332,0.8285551419118063,0.22916666666674246
7.12,69.69,998.1,2023-01-04 21:00:00,0,normal,21,1,-0.79,8.487499999999999,5.505917962401514,-1.3674999999999988,2.480000000000004,57.517500000000005,13.440032107233893,12.172499999999992,0.3000000000000682,997.5583333333334,0.8176938231428017,0.5416666666666288
6.36,72.1,998.2,2023-01-04 22:00:00,0,normal,22,1,-0.7599999999999998,8.525416666666667,5.487192185417796,-2.1654166666666663,2.4099999999999966,57.86875,13.715157692986176,14.231249999999996,0.10000000000002274,997.5583333333334,0.8176938231428017,0.6416666666666515
5.63,74.26,998.1,2023-01-04 23:00:00,0,normal,23,1,-0.7300000000000004,8.56625,5.4606814453716375,-2.9362500000000002,2.160000000000011,58.23708333333334,14.041589306543004,16.022916666666667,-0.10000000000002274,997.5708333333333,0.8238188734375906,0.529166666666697
4.94,76.07,998.1,2023-01-05 00:00:00,0,normal,0,1,-0.6899999999999995,8.607916666666666,5.427561690648673,-3.667916666666666,1.809999999999988,58.592083333333335,14.390638859180713,17.47791666666666,0.0,997.6041666666666,0.8285551419118103,0.49583333333339397
4.3,77.43,997.9,2023-01-05 01:00:00,0,normal,1,1,-0.6400000000000006,8.647916666666667,5.39046096211242,-4.347916666666667,1.3600000000000136,58.9175,14.73503935463385,18.51250000000001,-0.20000000000004547,997.6416666666668,0.8203481056800476,0.25833333333321207
3.66,78.56,997.6,2023-01-05 02:00:00,0,normal,2,1,-0.6399999999999997,8.68125,5.355473683024238,-5.02125,1.1299999999999955,59.225833333333334,15.075836098139652,19.33416666666667,-0.2999999999999545,997.6749999999998,0.8006790596249026,-0.0749999999998181
3.05,79.48,997.3,2023-01-05 03:00:00,0,normal,3,1,-0.6100000000000003,8.7025,5.331002230594983,-5.652500000000001,0.9200000000000017,59.550000000000004,15.435086512623553,19.93,-0.3000000000000682,997.7041666666668,0.7720549466066448,-0.40416666666681067
2.49,80.09,997.3,2023-01-05 04:00:00,0,normal,4,1,-0.5599999999999996,8.711666666666666,5.319637668820708,-6.221666666666666,0.6099999999999994,59.90625,15.817779158276283,20.183750000000003,0.0,997.7333333333335,0.7411311370593765,-0.43333333333350765
